DCALENDARIO[ANO]	DCALENDARIO[NUMEROMES]	DCALENDARIO[NOMEMES]	DCALENDARIO[TRIMESTRE]	DCALENDARIO[TRI ANO]	DCALENDARIO[SEM]	VMQ_TSIEMP[RAZAOABREV]	VMQ_TSICUS[CODCENCUS]	VMQ_TSICUS[DESCRCENCUS]	VMQ_CADDRE[BLOCO]	VMQ_CADDRE[TITULO]	VMQ_TGFNAT[DESCRNAT]	[ORCADO]	[REALIZADO]	[VB_ORCADO]	[VB_REALIZADO]
2025	7	jul	T3	T3-2025	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-9171,58		5742667,37	645965,0182
2024	8	ago	T3	T3-2024	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5816		6054278	737784,3344
2025	6	jun	T2	T2-2025	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-8933,35		5644016,74	550459,4085
2023	11	nov	T4	T4-2023	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2314		8743403	0
2023	12	dez	T4	T4-2023	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1736		6636875	0
2023	8	ago	T3	T3-2023	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1589		6376723	0
2023	9	set	T3	T3-2023	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1988		7392012	0
2023	8	ago	T3	T3-2023	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-20		6376723	0
2023	7	jul	T3	T3-2023	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1601		5341477	0
2023	7	jul	T3	T3-2023	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-252		5341477	0
2023	8	ago	T3	T3-2023	2º Sem.	Consolidação	12010000	E-COMMERCE	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-15		6376723	0
2023	12	dez	T4	T4-2023	2º Sem.	Consolidação	12010000	E-COMMERCE	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-12		6636875	0
2023	9	set	T3	T3-2023	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1928		7392012	0
2023	8	ago	T3	T3-2023	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1793		6376723	0
2023	10	out	T4	T4-2023	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2314		8620852	0
2023	7	jul	T3	T3-2023	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-20		5341477	0
2023	9	set	T3	T3-2023	2º Sem.	Consolidação	12010000	E-COMMERCE	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-16		7392012	0
2023	9	set	T3	T3-2023	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3486		7392012	0
2023	10	out	T4	T4-2023	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-4276		8620852	0
2023	11	nov	T4	T4-2023	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-755		8743403	0
2023	10	out	T4	T4-2023	2º Sem.	Consolidação	12010000	E-COMMERCE	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-18		8620852	0
2023	11	nov	T4	T4-2023	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-4276		8743403	0
2023	7	jul	T3	T3-2023	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2231		5341477	0
2023	8	ago	T3	T3-2023	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2581		6376723	0
2023	9	set	T3	T3-2023	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3228		7392012	0
2023	10	out	T4	T4-2023	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-20		8620852	0
2023	8	ago	T3	T3-2023	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-655		6376723	0
2023	7	jul	T3	T3-2023	2º Sem.	Consolidação	12010000	E-COMMERCE	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-14		5341477	0
2023	12	dez	T4	T4-2023	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1712		6636875	0
2023	10	out	T4	T4-2023	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2438		8620852	0
2023	7	jul	T3	T3-2023	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2409		5341477	0
2023	12	dez	T4	T4-2023	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3003		6636875	0
2023	10	out	T4	T4-2023	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3959		8620852	0
2023	12	dez	T4	T4-2023	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2781		6636875	0
2023	7	jul	T3	T3-2023	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	1		5341477	0
2023	11	nov	T4	T4-2023	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-20		8743403	0
